  Signal    G_z      G_y       G_x     |G|     DELTA    delta     TE
0.573240 0.778608 -0.355430 -0.517145 0.055000 0.050000 0.006000 0.071000
0.543294 0.909772 -0.297019 0.289990 0.055000 0.050000 0.006000 0.071000
0.529799 0.913886 -0.390917 -0.109529 0.055000 0.050000 0.006000 0.071000
0.529760 -0.897816 -0.097403 -0.429464 0.055000 0.050000 0.006000 0.071000
0.524494 -0.917342 -0.379341 -0.120767 0.055000 0.050000 0.006000 0.071000
0.514008 -0.921327 -0.273949 0.275877 0.055000 0.050000 0.006000 0.071000
0.502592 -0.947618 0.087465 0.307198 0.055000 0.050000 0.006000 0.071000
0.484284 -0.998026 -0.004503 -0.062640 0.055000 0.050000 0.006000 0.071000
1.005681 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.001854 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.992465 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.813225 0.064763 -0.699803 0.711394 0.060000 0.050000 0.006000 0.071000
0.782434 -0.003809 0.621678 0.783264 0.060000 0.050000 0.006000 0.071000
0.778440 0.208638 -0.387250 0.898058 0.060000 0.050000 0.006000 0.071000
0.773388 -0.040824 -0.039713 0.998377 0.060000 0.050000 0.006000 0.071000
0.769012 -0.015381 0.977350 -0.211070 0.060000 0.050000 0.006000 0.071000
0.766015 0.172785 0.328024 0.928733 0.060000 0.050000 0.006000 0.071000
0.763225 -0.174072 0.836328 0.519859 0.060000 0.050000 0.006000 0.071000
0.762637 0.462766 -0.575888 0.673944 0.060000 0.050000 0.006000 0.071000
0.761576 -0.178353 -0.411942 0.893585 0.060000 0.050000 0.006000 0.071000
0.759400 -0.280450 -0.722362 0.632092 0.060000 0.050000 0.006000 0.071000
0.755406 0.318904 -0.022321 0.947524 0.060000 0.050000 0.006000 0.071000
0.752246 -0.310971 -0.893895 0.322875 0.060000 0.050000 0.006000 0.071000
0.752235 -0.103181 0.979958 0.170397 0.060000 0.050000 0.006000 0.071000
0.752139 -0.247597 0.857394 -0.451188 0.060000 0.050000 0.006000 0.071000
0.747132 -0.232011 0.313567 0.920786 0.060000 0.050000 0.006000 0.071000
0.746646 0.186510 0.858520 0.477658 0.060000 0.050000 0.006000 0.071000
0.730295 0.275365 0.957183 0.089304 0.060000 0.050000 0.006000 0.071000
0.726146 -0.392608 -0.589043 -0.706320 0.060000 0.050000 0.006000 0.071000
0.710010 -0.392610 -0.062702 0.917565 0.060000 0.050000 0.006000 0.071000
0.704680 -0.413907 0.594879 0.689057 0.060000 0.050000 0.006000 0.071000
0.703902 -0.402809 0.912866 -0.066485 0.060000 0.050000 0.006000 0.071000
0.695718 0.560475 0.228884 0.795914 0.060000 0.050000 0.006000 0.071000
0.687936 -0.480141 0.814956 0.324517 0.060000 0.050000 0.006000 0.071000
0.686510 0.599084 -0.723791 0.342381 0.060000 0.050000 0.006000 0.071000
0.686209 -0.528575 -0.435426 0.728706 0.060000 0.050000 0.006000 0.071000
0.681992 0.589401 -0.200874 0.782468 0.060000 0.050000 0.006000 0.071000
0.662182 0.519073 0.773477 0.363726 0.060000 0.050000 0.006000 0.071000
0.654387 -0.598362 0.277633 0.751587 0.060000 0.050000 0.006000 0.071000
0.650084 -0.593751 -0.801739 0.068365 0.060000 0.050000 0.006000 0.071000
0.626888 -0.634543 -0.647594 0.421873 0.060000 0.050000 0.006000 0.071000
0.612206 0.775716 -0.361465 0.517308 0.060000 0.050000 0.006000 0.071000
0.606373 -0.693562 -0.088483 0.714942 0.060000 0.050000 0.006000 0.071000
0.601387 0.725202 0.435255 0.533511 0.060000 0.050000 0.006000 0.071000
0.588389 -0.783073 -0.591567 -0.191950 0.060000 0.050000 0.006000 0.071000
0.583885 -0.730064 0.515679 0.448421 0.060000 0.050000 0.006000 0.071000
0.582106 -0.716778 0.692717 0.079828 0.060000 0.050000 0.006000 0.071000
0.557353 0.829318 0.042165 0.557184 0.060000 0.050000 0.006000 0.071000
0.536299 -0.855133 0.484515 -0.184374 0.060000 0.050000 0.006000 0.071000
0.530930 -0.872149 -0.469149 0.138765 0.060000 0.050000 0.006000 0.071000
0.530378 -0.841048 -0.294351 0.453869 0.060000 0.050000 0.006000 0.071000
0.529632 -0.874225 0.135131 0.466338 0.060000 0.050000 0.006000 0.071000
0.489517 -0.932638 0.326920 0.152676 0.060000 0.050000 0.006000 0.071000
0.484252 0.942401 0.248044 0.224399 0.060000 0.050000 0.006000 0.071000
0.484239 0.968894 -0.123146 0.214660 0.060000 0.050000 0.006000 0.071000
0.466617 -0.987203 -0.076540 0.139897 0.060000 0.050000 0.006000 0.071000
1.036214 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.016618 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.947168 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.612370 -0.000575 0.610576 0.791958 0.055000 0.090000 0.010000 0.115000
0.573330 0.114868 0.969538 -0.216338 0.055000 0.090000 0.010000 0.115000
0.570407 0.156960 -0.983577 -0.089100 0.055000 0.090000 0.010000 0.115000
0.562001 0.051088 0.298552 0.953025 0.055000 0.090000 0.010000 0.115000
0.559139 0.082959 -0.874545 -0.477796 0.055000 0.090000 0.010000 0.115000
0.548228 0.013944 -0.819747 0.572556 0.055000 0.090000 0.010000 0.115000
0.542018 0.081260 -0.117264 0.989771 0.055000 0.090000 0.010000 0.115000
0.531931 -0.191053 -0.963876 -0.185587 0.055000 0.090000 0.010000 0.115000
0.522351 0.089652 -0.505854 0.857948 0.055000 0.090000 0.010000 0.115000
0.463717 0.279269 0.772037 0.570936 0.055000 0.090000 0.010000 0.115000
0.457843 -0.271526 -0.264826 0.925279 0.055000 0.090000 0.010000 0.115000
0.456690 -0.243825 -0.608460 0.755199 0.055000 0.090000 0.010000 0.115000
0.455816 0.272092 -0.907786 0.319202 0.055000 0.090000 0.010000 0.115000
0.441050 -0.258495 0.125045 0.957885 0.055000 0.090000 0.010000 0.115000
0.430648 0.342088 -0.629910 -0.697273 0.055000 0.090000 0.010000 0.115000
0.422090 0.389597 0.105703 0.914899 0.055000 0.090000 0.010000 0.115000
0.413431 -0.391757 -0.796780 0.460075 0.055000 0.090000 0.010000 0.115000
0.390535 0.386721 -0.672334 0.631201 0.055000 0.090000 0.010000 0.115000
0.378187 0.450042 -0.813325 -0.368734 0.055000 0.090000 0.010000 0.115000
0.365485 0.394409 0.472233 0.788313 0.055000 0.090000 0.010000 0.115000
0.362523 0.405129 -0.329043 0.852995 0.055000 0.090000 0.010000 0.115000
0.346862 0.501492 -0.329835 -0.799822 0.055000 0.090000 0.010000 0.115000
0.341727 0.488993 -0.872240 0.009143 0.055000 0.090000 0.010000 0.115000
0.327240 0.512620 0.815536 0.268555 0.055000 0.090000 0.010000 0.115000
0.308904 -0.490788 -0.864598 0.107693 0.055000 0.090000 0.010000 0.115000
0.273503 -0.589645 -0.079283 0.803762 0.055000 0.090000 0.010000 0.115000
0.265448 -0.569852 -0.468517 0.675100 0.055000 0.090000 0.010000 0.115000
0.234564 0.712956 0.250437 0.654961 0.055000 0.090000 0.010000 0.115000
0.226515 0.639863 -0.701668 0.313428 0.055000 0.090000 0.010000 0.115000
0.219856 0.660310 0.568401 0.490827 0.055000 0.090000 0.010000 0.115000
0.216156 0.664142 -0.099587 0.740944 0.055000 0.090000 0.010000 0.115000
0.196388 -0.723916 -0.609458 0.323275 0.055000 0.090000 0.010000 0.115000
0.183808 0.705500 -0.432163 0.561698 0.055000 0.090000 0.010000 0.115000
0.170144 0.691138 -0.533689 -0.487344 0.055000 0.090000 0.010000 0.115000
0.161332 0.754805 -0.648514 -0.098486 0.055000 0.090000 0.010000 0.115000
0.158809 -0.790452 0.172509 0.587730 0.055000 0.090000 0.010000 0.115000
0.154877 -0.779457 -0.621317 -0.080079 0.055000 0.090000 0.010000 0.115000
0.148134 0.891931 -0.405274 0.200532 0.055000 0.090000 0.010000 0.115000
0.141687 -0.817475 -0.259829 0.514027 0.055000 0.090000 0.010000 0.115000
0.126342 0.894864 -0.075688 0.439875 0.055000 0.090000 0.010000 0.115000
0.122104 -0.934569 -0.339315 0.106989 0.055000 0.090000 0.010000 0.115000
0.114689 0.917243 -0.342727 -0.202987 0.055000 0.090000 0.010000 0.115000
0.110633 0.905118 0.303539 0.297701 0.055000 0.090000 0.010000 0.115000
0.107982 0.956502 0.007838 -0.291619 0.055000 0.090000 0.010000 0.115000
0.095069 0.995943 -0.031355 0.084353 0.055000 0.090000 0.010000 0.115000
1.062032 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.006906 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.931061 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.500677 -0.004123 -0.869363 -0.494156 0.060000 0.090000 0.010000 0.115000
0.499995 0.076391 -0.988053 -0.133848 0.060000 0.090000 0.010000 0.115000
0.487099 -0.054439 0.951286 -0.303467 0.060000 0.090000 0.010000 0.115000
0.475772 -0.017705 -0.616066 -0.787496 0.060000 0.090000 0.010000 0.115000
0.456593 0.016249 0.755074 -0.655438 0.060000 0.090000 0.010000 0.115000
0.431852 0.048972 0.431549 -0.900759 0.060000 0.090000 0.010000 0.115000
0.423101 -0.128138 -0.229501 -0.964837 0.060000 0.090000 0.010000 0.115000
0.406709 -0.248103 0.161516 -0.955174 0.060000 0.090000 0.010000 0.115000
0.404205 0.133626 0.018722 -0.990855 0.060000 0.090000 0.010000 0.115000
0.398696 0.237499 0.967473 -0.087126 0.060000 0.090000 0.010000 0.115000
0.393941 0.341719 0.836508 -0.428349 0.060000 0.090000 0.010000 0.115000
0.388343 -0.292923 0.532862 -0.793885 0.060000 0.090000 0.010000 0.115000
0.375438 0.254260 -0.362129 -0.896780 0.060000 0.090000 0.010000 0.115000
0.366226 -0.366726 -0.456596 -0.810575 0.060000 0.090000 0.010000 0.115000
0.360222 -0.343953 0.812767 -0.470219 0.060000 0.090000 0.010000 0.115000
0.346788 -0.384196 0.859005 0.338383 0.060000 0.090000 0.010000 0.115000
0.343854 -0.337229 -0.905623 -0.257144 0.060000 0.090000 0.010000 0.115000
0.340101 0.340134 -0.684815 -0.644466 0.060000 0.090000 0.010000 0.115000
0.331691 -0.394316 0.915815 -0.076146 0.060000 0.090000 0.010000 0.115000
0.316346 -0.382129 -0.728117 -0.569054 0.060000 0.090000 0.010000 0.115000
0.314741 0.386651 0.257810 -0.885458 0.060000 0.090000 0.010000 0.115000
0.307025 0.386477 0.593029 -0.706365 0.060000 0.090000 0.010000 0.115000
0.270920 -0.524838 -0.112580 -0.843724 0.060000 0.090000 0.010000 0.115000
0.251639 -0.598077 0.243493 -0.763554 0.060000 0.090000 0.010000 0.115000
0.227697 -0.595745 0.568805 -0.567052 0.060000 0.090000 0.010000 0.115000
0.212007 0.530856 -0.095882 -0.842020 0.060000 0.090000 0.010000 0.115000
0.202964 0.597008 -0.441229 -0.669999 0.060000 0.090000 0.010000 0.115000
0.191319 -0.582658 -0.808419 0.083481 0.060000 0.090000 0.010000 0.115000
0.188691 -0.681084 -0.419309 -0.600254 0.060000 0.090000 0.010000 0.115000
0.172350 -0.675836 -0.678176 -0.288657 0.060000 0.090000 0.010000 0.115000
0.167980 -0.668302 0.723074 0.174746 0.060000 0.090000 0.010000 0.115000
0.160956 -0.683105 0.697769 -0.215604 0.060000 0.090000 0.010000 0.115000
0.146786 -0.840008 0.342372 -0.420913 0.060000 0.090000 0.010000 0.115000
0.144173 0.682269 0.281221 -0.674852 0.060000 0.090000 0.010000 0.115000
0.140545 0.675838 0.603578 -0.423009 0.060000 0.090000 0.010000 0.115000
0.131810 0.799827 -0.464874 -0.379696 0.060000 0.090000 0.010000 0.115000
0.124287 0.819132 0.037094 0.572405 0.060000 0.090000 0.010000 0.115000
0.112574 -0.839538 -0.540209 0.057880 0.060000 0.090000 0.010000 0.115000
0.112074 0.888948 0.257125 -0.379022 0.060000 0.090000 0.010000 0.115000
0.106952 0.812386 -0.095091 -0.575315 0.060000 0.090000 0.010000 0.115000
0.105253 -0.891881 -0.333280 -0.305733 0.060000 0.090000 0.010000 0.115000
0.093834 0.981491 0.188461 -0.034038 0.060000 0.090000 0.010000 0.115000
0.092013 -0.974037 0.079257 -0.212063 0.060000 0.090000 0.010000 0.115000
0.085919 0.963980 -0.146377 -0.222071 0.060000 0.090000 0.010000 0.115000
0.083329 -0.898946 0.437289 -0.025987 0.060000 0.090000 0.010000 0.115000
1.008252 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.996413 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.995334 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.660075 0.121203 -0.987913 0.096628 0.055000 0.030000 0.015000 0.060000
0.641509 0.127487 -0.687552 0.714856 0.055000 0.030000 0.015000 0.060000
0.634122 -0.101453 -0.954417 -0.280706 0.055000 0.030000 0.015000 0.060000
0.620413 0.342438 -0.845417 0.409885 0.055000 0.030000 0.015000 0.060000
0.618091 -0.060730 -0.914313 0.400429 0.055000 0.030000 0.015000 0.060000
0.616870 -0.092870 0.573480 0.813938 0.055000 0.030000 0.015000 0.060000
0.611332 0.041440 0.269651 0.962066 0.055000 0.030000 0.015000 0.060000
0.597875 -0.072838 -0.091489 0.993139 0.055000 0.030000 0.015000 0.060000
0.597471 -0.204059 0.804059 0.558434 0.055000 0.030000 0.015000 0.060000
0.576031 -0.278569 0.933276 0.226705 0.055000 0.030000 0.015000 0.060000
0.575867 -0.164712 -0.435624 0.884930 0.055000 0.030000 0.015000 0.060000
0.553633 0.330917 0.050320 0.942317 0.055000 0.030000 0.015000 0.060000
0.544014 -0.231706 0.345228 -0.909467 0.055000 0.030000 0.015000 0.060000
0.542409 -0.245048 -0.721448 0.647661 0.055000 0.030000 0.015000 0.060000
0.541215 0.202082 0.769195 0.606219 0.055000 0.030000 0.015000 0.060000
0.537132 -0.286371 -0.956228 0.060167 0.055000 0.030000 0.015000 0.060000
0.530496 0.476612 -0.565214 0.673331 0.055000 0.030000 0.015000 0.060000
0.523232 0.334462 0.471208 0.816149 0.055000 0.030000 0.015000 0.060000
0.519277 -0.333536 0.230340 0.914165 0.055000 0.030000 0.015000 0.060000
0.513824 0.526300 -0.848892 0.048894 0.055000 0.030000 0.015000 0.060000
0.455754 0.581567 -0.165786 0.796426 0.055000 0.030000 0.015000 0.060000
0.445728 -0.481972 0.535799 0.693270 0.055000 0.030000 0.015000 0.060000
0.424018 -0.457477 -0.155746 0.875476 0.055000 0.030000 0.015000 0.060000
0.414084 -0.482716 -0.800177 0.355952 0.055000 0.030000 0.015000 0.060000
0.410874 -0.577271 0.735791 0.354076 0.055000 0.030000 0.015000 0.060000
0.407214 0.472747 0.831045 0.293043 0.055000 0.030000 0.015000 0.060000
0.398340 0.688702 -0.651015 0.319170 0.055000 0.030000 0.015000 0.060000
0.383240 -0.535725 -0.504781 0.676901 0.055000 0.030000 0.015000 0.060000
0.363120 0.581859 0.604773 0.543774 0.055000 0.030000 0.015000 0.060000
0.360868 0.633195 0.236992 0.736817 0.055000 0.030000 0.015000 0.060000
0.326742 -0.651281 -0.758819 0.005084 0.055000 0.030000 0.015000 0.060000
0.324532 -0.654926 0.169541 0.736429 0.055000 0.030000 0.015000 0.060000
0.311970 -0.762832 0.352320 -0.542179 0.055000 0.030000 0.015000 0.060000
0.279663 -0.759354 -0.228714 0.609156 0.055000 0.030000 0.015000 0.060000
0.269985 -0.784546 0.438342 0.438571 0.055000 0.030000 0.015000 0.060000
0.262633 -0.769577 -0.539617 0.341417 0.055000 0.030000 0.015000 0.060000
0.252709 -0.812317 0.580114 0.060072 0.055000 0.030000 0.015000 0.060000
0.241196 -0.827827 -0.392704 -0.400608 0.055000 0.030000 0.015000 0.060000
0.236841 -0.859734 -0.018328 -0.510414 0.055000 0.030000 0.015000 0.060000
0.226086 -0.870732 -0.487910 -0.061395 0.055000 0.030000 0.015000 0.060000
0.222053 -0.888668 0.073095 0.452687 0.055000 0.030000 0.015000 0.060000
0.213585 -0.926338 0.305263 -0.220707 0.055000 0.030000 0.015000 0.060000
0.194503 -0.951360 -0.221643 0.213984 0.055000 0.030000 0.015000 0.060000
0.188436 -0.983926 -0.095104 -0.151145 0.055000 0.030000 0.015000 0.060000
0.181209 -0.970061 0.208244 0.124964 0.055000 0.030000 0.015000 0.060000
1.004615 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.004575 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.990810 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.622179 0.041594 -0.984986 -0.167550 0.060000 0.030000 0.015000 0.060000
0.619593 0.010855 -0.967511 0.252597 0.060000 0.030000 0.015000 0.060000
0.612307 0.005811 -0.839172 -0.543835 0.060000 0.030000 0.015000 0.060000
0.603130 0.000684 -0.554581 -0.832130 0.060000 0.030000 0.015000 0.060000
0.586132 0.296467 -0.839991 0.454447 0.060000 0.030000 0.015000 0.060000
0.583425 -0.078339 -0.791333 0.606345 0.060000 0.030000 0.015000 0.060000
0.550564 0.354269 -0.872851 -0.335596 0.060000 0.030000 0.015000 0.060000
0.548705 0.370422 -0.926541 0.065639 0.060000 0.030000 0.015000 0.060000
0.543060 -0.065256 -0.166753 -0.983837 0.060000 0.030000 0.015000 0.060000
0.528815 -0.174706 0.222533 -0.959144 0.060000 0.030000 0.015000 0.060000
0.516403 0.332513 -0.643961 -0.689021 0.060000 0.030000 0.015000 0.060000
0.510672 -0.310865 0.299938 0.901887 0.060000 0.030000 0.015000 0.060000
0.509528 -0.224974 0.582825 -0.780834 0.060000 0.030000 0.015000 0.060000
0.487522 0.123580 0.483937 -0.866333 0.060000 0.030000 0.015000 0.060000
0.485869 -0.342250 -0.392192 -0.853844 0.060000 0.030000 0.015000 0.060000
0.481144 0.208519 0.085309 -0.974291 0.060000 0.030000 0.015000 0.060000
0.479589 -0.288538 -0.957286 0.018706 0.060000 0.030000 0.015000 0.060000
0.462432 -0.360838 -0.682537 -0.635562 0.060000 0.030000 0.015000 0.060000
0.457791 0.551950 -0.591957 0.587314 0.060000 0.030000 0.015000 0.060000
0.457102 -0.342176 -0.878881 -0.332391 0.060000 0.030000 0.015000 0.060000
0.434419 -0.392145 -0.850474 0.350594 0.060000 0.030000 0.015000 0.060000
0.409477 -0.468031 -0.052089 -0.882176 0.060000 0.030000 0.015000 0.060000
0.390505 -0.540891 0.289858 -0.789569 0.060000 0.030000 0.015000 0.060000
0.389537 -0.453472 -0.629875 0.630572 0.060000 0.030000 0.015000 0.060000
0.380761 -0.465043 -0.322385 0.824502 0.060000 0.030000 0.015000 0.060000
0.359972 0.657109 -0.707903 0.258999 0.060000 0.030000 0.015000 0.060000
0.341787 0.627840 -0.635100 -0.449961 0.060000 0.030000 0.015000 0.060000
0.333613 0.683478 -0.722893 -0.101407 0.060000 0.030000 0.015000 0.060000
0.292354 -0.666487 -0.367133 -0.648852 0.060000 0.030000 0.015000 0.060000
0.280684 -0.627378 -0.778598 -0.013517 0.060000 0.030000 0.015000 0.060000
0.280102 0.648112 -0.350811 -0.675931 0.060000 0.030000 0.015000 0.060000
0.275940 0.591547 -0.018130 -0.806066 0.060000 0.030000 0.015000 0.060000
0.259123 -0.672871 -0.639129 -0.372502 0.060000 0.030000 0.015000 0.060000
0.247358 -0.723704 -0.610231 0.322289 0.060000 0.030000 0.015000 0.060000
0.244146 -0.755897 -0.316304 0.573212 0.060000 0.030000 0.015000 0.060000
0.230056 -0.781916 0.002217 -0.623379 0.060000 0.030000 0.015000 0.060000
0.218739 -0.819177 0.349461 -0.454781 0.060000 0.030000 0.015000 0.060000
0.205003 0.900143 -0.427489 0.083637 0.060000 0.030000 0.015000 0.060000
0.184341 -0.876929 -0.478578 -0.044254 0.060000 0.030000 0.015000 0.060000
0.180388 -0.895243 -0.285902 -0.341761 0.060000 0.030000 0.015000 0.060000
0.175649 0.874435 -0.380875 -0.300495 0.060000 0.030000 0.015000 0.060000
0.166828 -0.937111 -0.262100 0.230493 0.060000 0.030000 0.015000 0.060000
0.158397 0.966743 -0.049657 0.250884 0.060000 0.030000 0.015000 0.060000
0.152095 0.864166 -0.048975 -0.500818 0.060000 0.030000 0.015000 0.060000
0.128857 0.992619 -0.064367 -0.102788 0.060000 0.030000 0.015000 0.060000
1.021381 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
1.006502 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.972117 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.374973 -0.028615 0.593056 0.804653 0.055000 0.070000 0.022000 0.107000
0.360535 -0.166359 0.811070 0.560795 0.055000 0.070000 0.022000 0.107000
0.343654 0.055899 0.959831 0.274955 0.055000 0.070000 0.022000 0.107000
0.336785 0.084717 -0.986451 0.140492 0.055000 0.070000 0.022000 0.107000
0.326160 0.116742 0.234833 0.965000 0.055000 0.070000 0.022000 0.107000
0.314141 -0.059581 -0.372920 0.925949 0.055000 0.070000 0.022000 0.107000
0.306314 -0.161869 0.841610 -0.515257 0.055000 0.070000 0.022000 0.107000
0.295227 -0.150786 -0.678404 0.719049 0.055000 0.070000 0.022000 0.107000
0.285673 0.232566 -0.158873 0.959517 0.055000 0.070000 0.022000 0.107000
0.279862 0.245848 -0.556414 0.793702 0.055000 0.070000 0.022000 0.107000
0.265815 -0.181155 -0.012780 0.983371 0.055000 0.070000 0.022000 0.107000
0.252882 -0.277364 0.355627 0.892524 0.055000 0.070000 0.022000 0.107000
0.251328 0.321098 -0.927819 -0.189863 0.055000 0.070000 0.022000 0.107000
0.248290 0.251517 0.787800 0.562238 0.055000 0.070000 0.022000 0.107000
0.247452 0.265982 0.962833 -0.046969 0.055000 0.070000 0.022000 0.107000
0.247194 -0.229048 -0.880020 0.416055 0.055000 0.070000 0.022000 0.107000
0.216443 0.424952 -0.881807 0.204530 0.055000 0.070000 0.022000 0.107000
0.188544 0.516782 -0.650630 0.556432 0.055000 0.070000 0.022000 0.107000
0.185096 0.350056 0.494257 0.795720 0.055000 0.070000 0.022000 0.107000
0.165930 -0.412199 -0.357178 0.838162 0.055000 0.070000 0.022000 0.107000
0.145837 0.486051 0.083076 0.869973 0.055000 0.070000 0.022000 0.107000
0.141809 0.478168 0.848811 0.225554 0.055000 0.070000 0.022000 0.107000
0.136757 0.562945 -0.305581 0.767928 0.055000 0.070000 0.022000 0.107000
0.134362 -0.522869 -0.639537 0.563560 0.055000 0.070000 0.022000 0.107000
0.120553 0.669968 0.323428 0.668234 0.055000 0.070000 0.022000 0.107000
0.115188 0.713245 -0.661659 0.231275 0.055000 0.070000 0.022000 0.107000
0.111336 0.657112 -0.740535 -0.140755 0.055000 0.070000 0.022000 0.107000
0.108546 0.618535 0.626647 0.474055 0.055000 0.070000 0.022000 0.107000
0.107824 0.568845 -0.426901 -0.702973 0.055000 0.070000 0.022000 0.107000
0.096111 -0.803619 0.139430 0.578581 0.055000 0.070000 0.022000 0.107000
0.094769 0.500240 -0.708380 -0.497953 0.055000 0.070000 0.022000 0.107000
0.093670 -0.709228 -0.284548 0.645003 0.055000 0.070000 0.022000 0.107000
0.088647 0.809768 -0.461388 -0.362486 0.055000 0.070000 0.022000 0.107000
0.087364 0.905319 -0.423301 0.034840 0.055000 0.070000 0.022000 0.107000
0.085307 0.786056 0.609819 0.101182 0.055000 0.070000 0.022000 0.107000
0.084209 -0.575313 -0.795349 0.190877 0.055000 0.070000 0.022000 0.107000
0.083813 -0.539168 0.033099 0.841547 0.055000 0.070000 0.022000 0.107000
0.079615 -0.801902 -0.519190 0.295626 0.055000 0.070000 0.022000 0.107000
0.076348 0.883010 0.308346 0.353859 0.055000 0.070000 0.022000 0.107000
0.075686 0.812285 -0.368575 0.452045 0.055000 0.070000 0.022000 0.107000
0.070696 0.970829 -0.069466 0.229491 0.055000 0.070000 0.022000 0.107000
0.069495 0.914455 0.163882 -0.370021 0.055000 0.070000 0.022000 0.107000
0.061642 0.975230 -0.136464 -0.174083 0.055000 0.070000 0.022000 0.107000
0.059963 0.965537 0.260200 -0.005933 0.055000 0.070000 0.022000 0.107000
0.049371 0.801511 -0.026039 0.597413 0.055000 0.070000 0.022000 0.107000
